Código do Termo (Tab 22 - TUSS);Termo (Tab 22 - TUSS)
40103544;Polissonograma com teste de CPAP/BIPAP nasal
40103552;Posturografia
40103560;Potencial evocado - P300
40103579;Potencial evocado auditivo de média latência (PEA-ML) bilateral
40103587;Potencial somato-sensitivo para localização funcional da área central (monitorização por hora) até 3 horas
40103595;Potencial evocado gênito-cortical (PEGC)
40103609;Potencial evocado motor - PEM (bilateral)
40103617;Potencial evocado somato-sensitivo - membros inferiores (PESS)
40103625;Potencial evocado somato-sensitivo - membros superiores (PESS)
40103633;Potencial evocado visual (PEV)
40103641;Provas de função tubária
40103650;Registro do nistagmo pendular e optocinético
40103668;Rinomanometria computadorizada
40103676;Rinometria acústica
40103684;Reflexo cutâneo-simpático
40103714;Teste de estimulação repetitiva (um ou mais músculos)
40103722;Teste de fístula perilinfática com eletronistagmografia
40103730;Teste de latências múltiplas de sono (TLMS) diurno pós PSG
40103749;Vectoeletronistagmografia - computadorizada
40103757;Vídeo-EEG contínua não invasiva - a cada 12 horas
40103765;Videonistagmografia infravermelha
40103781;Audiometria ocupacional ou de seleção
40103790;Audiometrias de altas frequências
40103803;Avaliação da função auditiva central
40103811;Eletrodiagnóstico
40103820;Pesquisa do nistagmo optocinético
40103838;Prova de Doerfler-Stewart
40103846;Prova de Stenger
40103854;Teste de Fowler
40103862;Eletroencefalograma com eletrodos especiais
40103870;Potencial evocado do nervo trigêmeo
40103889;Processamento auditivo central infantil (de 3 a 7 anos)
40103897;Processamento auditivo central (a partir dos 7 anos e adulto)
40103919;Vídeoeletroencefalograma contínua invasiva para avaliação de tratamento cirúrgico de epilepsia - a cada 12 horas
40103927;Teste de impulso cefálico ou vHIT (Vídeo Head Impulse Teste (Vídeo HT))
40104010;Avaliação muscular por dinamometria computadorizada (isocinética) - por articulação
40104028;Cronaximetria
40104036;Curva  I/T - medida de latência de nervo periférico
40104044;Ergotonometria músculo-esquelético (tetra, paraparesia e hemiparesia)
40104125;Sistema tridimensional de avaliação do movimento que inclui vídeo acoplado à plataforma da força e eletromiografia
40105016;Determinação das pressões respiratórias máximas
40105024;Determinação dos volumes pulmonares por diluição de gases
40105032;Determinação dos volumes pulmonares por pletismografia
40105040;Medida da difusão do monóxido de carbono
40105059;Medida de pico de fluxo expiratório
40105067;Medida seriada por 3 semanas do pico de fluxo expiratório
40105075;Prova de função pulmonar completa (ou espirometria)
40105083;Resistência das vias aéreas por oscilometria
40105091;Resistência das vias aéreas por pletismografia
40105105;Espirografia Simples - capacidade vital lenta
40105113;Regulação ventilatória - 1) medida de ventilação e do padrão ventilatório
40105121;Regulação ventilatória - 2) determinação da pressão de oclusão
40105130;Regulação ventilatória - 3) resposta a hipoxia e hipercapnia
40105148;Espirometria
40201015;Amnioscopia
40201023;Anuscopia (interna e externa)
40201031;Broncoscopia com biópsia transbrônquica
40201058;Broncoscopia com ou sem aspirado ou lavado brônquico bilateral
40201066;Cistoscopia e/ou uretroscopia
40201074;Colangiopancreatografia retrógrada endoscópica
40201082;Colonoscopia (inclui a retossigmoidoscopia)
40201090;Colonoscopia com magnificação
40201104;Ecoendoscopia alta
40201112;Ecoendoscopia baixa
40201120;Endoscopia digestiva alta
40201139;Endoscopia digestiva alta com magnificação
40201147;Enteroscopia (push enteroscopia)
40201155;Histeroscopia diagnóstica com biópsia
40201163;Laparoscopia
40201171;Retossigmoidoscopia flexível
40201180;Retossigmoidoscopia rígida
40201198;Vídeo-endoscopia do esfíncter velo-palatino com ótica flexível
40201201;Vídeo-endoscopia do esfíncter velo-palatino com ótica rígida
40201210;Vídeo-endoscopia naso-sinusal com ótica flexível
40201228;Vídeo-endoscopia naso-sinusal com ótica rígida
40201236;Vídeo-laringo-estroboscopia com endoscópio flexível
40201244;Vídeo-laringo-estroboscopia com endoscópio rígido
40201252;Vídeo-faringo-laringoscopia com endoscópio flexível
40201260;Vídeo-faringo-laringoscopia com endoscópio rígido
40201279;Ureteroscopia flexível unilateral
40201287;Ureteroscopia rígida unilateral
40201309;Avaliação endoscópica da deglutição (FEES)
40201317;Medida de pressão de varizes de esôfago endoscópica
40201325;Videoquimografia laríngea
40201333;Endoscopia digestiva alta com cromoscopia
40201341;Enteroscopia do intestino delgado com cápsula endoscópica
40201350;Colonoscopia com cromoscopia
40201368;Broncoscopia com cromoscopia
40201376;Aplicação de plasma de argônio por endoscopia digestiva alta
40201384;Aplicação de plasma de argônio por broncoscopia
40201392;Aplicação de plasma de argônio por colonoscopia
40201406;Aplicação de plasma de argônio por sigmoidoscopia
40202011;Aritenoidectomia microcirúrgica endoscópica
40202038;Endoscopia digestiva alta com biópsia e/ou citologia
40202046;Biópsias por laparoscopia
40202054;Broncoscopia com biópsia transbrônquica com acompanhamento radioscópico
40202062;Cecostomia
40202070;Cistoenterostomia com colocação de prótese ou dreno
40202089;Colagem de fístula por via endoscópica
40202097;Colocação de cânula sob orientação endoscópica
40202100;Colocação de cateter para braquiterapia endobrônquica
40202119;Colocação de prótese coledociana por via endoscópica
40202127;Colocação de prótese traqueal ou brônquica
40202135;Colonoscopia com magnificação e tatuagem
40202143;Descompressão colônica por colonoscopia
40202151;Desobstrução brônquica com laser ou eletrocautério
40202160;Desobstrução brônquica por broncoaspiração
40202178;Dilatação de estenose laringo-traqueo-brônquica
40202186;Dilatação instrumental do esôfago, estômago ou duodeno
40202194;Dilatação instrumental e injeção de substância medicamentosa por endoscopia
40202208;Diverticulotomia - aparelho digestivo
40202216;Drenagem cavitária por laparoscopia
40202224;Ecoendoscopia com cistoenterostomia
40202232;Ecoendoscopia com neurólise de plexo celíaco
40202240;Ecoendoscopia com punção por agulha
40202259;Esclerose ou hemostasia química de varizes ou outras patologias hemorrágicas de esôfago, estômago ou duodeno
40202267;Estenostomia endoscópica
40202283;Gastrostomia endoscópica
40202291;Hemostasia mecânica do esôfago, estômago ou duodeno
40202305;Hemostasia térmica do esôfago, estômago ou duodeno
40202313;Hemostasias de cólon
40202330;Injeção de substância medicamentosa por endoscopia
40202348;Introdução de prótese no esôfago
40202356;Jejunostomia endoscópica
40202364;Laringoscopia com microscopia para exérese de pólipo/nódulo/papiloma
40202372;Laringoscopia com retirada de corpo estranho de laringe/faringe (tubo flexível)
40202399;Laringoscopia/traqueoscopia com exérese de pólipo/nódulo/papiloma
40202410;Laringoscopia/traqueoscopia com retirada de corpo estranho (tubo rígido)
40202429;Laringoscopia/traqueoscopia para diagnóstico e biópsia (tubo rígido)
40202437;Laringoscopia/traqueoscopia para diagnóstico e biópsia com aparelho flexível
40202445;Laringoscopia/traqueoscopia para intubação oro ou nasotraqueal
40202453;Ligadura elástica do esôfago, estômago ou duodeno
40202470;Mucosectomia
40202488;Nasofibrolaringoscopia para dignóstico e/ou biópsia
40202496;Papilotomia biópsia e/ou citologia biliar e pancreática
40202500;Papilotomia e dilatação biliar ou pancreática
40202518;Papilotomia endoscópica (para retirada de cálculos coledocianos ou drenagem biliar)
40202526;Papilotomia, dilatação e colocação de prótese ou dreno biliar ou pancreático
40202534;Passagem de sonda naso-enteral
40202542;Polipectomia de cólon (independente do número de pólipos)
40202550;Polipectomia do esôfago, estômago ou duodeno (independente do número de pólipos)
40202569;Retirada de corpo estranho do cólon
40202577;Retirada de corpo estranho do esôfago, estômago ou duodeno
40202585;Retirada de corpo estranho no brônquio ou brônquico
40202593;Retirada de tumor ou papiloma por broncoscopia
40202607;Tamponamento de varizes do esôfago e estômago
40202615;Endoscopia digestiva alta com biópsia e teste de urease (pesquisa Helicobacter pylori)
40202623;Traqueostomia por punção percutânea
40202631;Tratamento endoscópico de hemoptise
40202640;Uretrotomia endoscópica
40202658;Colocação de balão intragástrico por via endoscópica para obesidade mórbida
40202666;Colonoscopia com biópsia e/ou citologia
40202674;Colonoscopia com dilatação segmentar
40202682;Retossigmoidoscopia flexível com polipectomia
40202690;Retossigmoidoscopia flexível com biópsia e/ou citologia
40202704;Colonoscopia com estenostomia
40202712;Colonoscopia com mucosectomia
40202720;Retossigmoidoscopia rígida com biópsia e/ou citologia
40202739;Retossigmoidoscopia rígida com polipectomia
40202747;Endoscopia digestiva alta com cromoscopia e biópsia e/ou citologia
40202755;Colonoscopia com tratamento de fístula
40202763;Laringoscopia/traqueoscopia com laser para exérese de papiloma/tumor
40202771;Retirada de balão intragástrico por via endoscópica
40202780;Biópsia endoscópica por órgão
40202798;Ecobroncoscopia com punção aspirativa com agulha fina
40202801;Colocação endoscópica de balão intragástrico de curta permanência (6 meses)
40202810;Colocação endoscópica de balão intragástrico de longa permanência (9 - 12 meses)
40202828;Calibração endoscópica de balão de longa permanência
40202836;Retirada endoscópica de balão intragástrico
40301010;3-metil histidina, pesquisa e/ou dosagem no soro
40301028;5-nucleotidase - pesquisa e/ou dosagem
40301036;Acetaminofen - pesquisa e/ou dosagem
40301044;Acetilcolinesterase, em eritrócitos - pesquisa e/ou dosagem
40301052;Acetona, pesquisa e/ou dosagem no soro
40301060;Ácido ascórbico (vitamina C) - pesquisa e/ou dosagem
40301079;Ácido beta hidroxi butírico - pesquisa e/ou dosagem
40301087;Ácido fólico, pesquisa e/ou dosagem nos eritrócitos
40301095;Ácido glioxílico - pesquisa e/ou dosagem
40301109;Ácido láctico (lactato) - pesquisa e/ou dosagem
40301117;Ácido orótico - pesquisa e/ou dosagem
40301125;Ácido oxálico - pesquisa e/ou dosagem
40301133;Ácido pirúvico - pesquisa e/ou dosagem
40301141;Ácido siálico - pesquisa e/ou dosagem
40301150;Ácido úrico - pesquisa e/ou dosagem
40301168;Ácido valpróico - pesquisa e/ou dosagem
40301176;Ácidos biliares - pesquisa e/ou dosagem
40301184;Ácidos graxos livres - pesquisa e/ou dosagem
40301192;Ácidos orgânicos (perfil quantitativo)
40301206;Acilcarnitinas (perfil qualitativo)
40301214;Acilcarnitinas (perfil quantitativo)
40301222;Albumina - pesquisa e/ou dosagem
40301230;Aldolase - pesquisa e/ou dosagem
40301249;Alfa-1-antitripsina, pesquisa e/ou dosagem no soro
40301257;Alfa-1-glicoproteína ácida - pesquisa e/ou dosagem
40301265;Alfa-2-macroglobulina - pesquisa e/ou dosagem
40301273;Alumínio, pesquisa e/ou dosagem no soro
40301281;Amilase - pesquisa e/ou dosagem
40301290;Aminoácidos, fracionamento e quantificação
40301303;Amiodarona - pesquisa e/ou dosagem
40301311;Amitriptilina, nortriptilina (cada) - pesquisa e/ou dosagem
40301320;Amônia - pesquisa e/ou dosagem
40301338;Anfetaminas, pesquisa e/ou dosagem
40301346;Antibióticos, pesquisa e/ou dosagem no soro, cada
40301354;Apolipoproteína A (Apo A) - pesquisa e/ou dosagem
40301362;Apolipoproteína B (Apo B) - pesquisa e/ou dosagem
40301370;Barbitúricos, antidepressivos tricíclicos (cada) - pesquisa e/ou dosagem
40301389;Beta-glicuronidase - pesquisa e/ou dosagem
40301397;Bilirrubinas (direta, indireta e total) - pesquisa e/ou dosagem
40301400;Cálcio - pesquisa e/ou dosagem
40301419;Cálcio iônico - pesquisa e/ou dosagem
40301427;Capacidade de fixação de ferro - pesquisa e/ou dosagem
40301435;Carbamazepina - pesquisa e/ou dosagem
40301443;Carnitina livre - pesquisa e/ou dosagem
40301451;Carnitina total e frações - pesquisa e/ou dosagem
40301460;Caroteno - pesquisa e/ou dosagem
40301478;Ceruloplasmina - pesquisa e/ou dosagem
40301486;Ciclosporina, methotrexate - cada - pesquisa e/ou dosagem
40301494;Clearance de ácido úrico
40301508;Clearance de creatinina
40301516;Clearance de fosfato
40301524;Clearance de uréia
40301532;Clearance osmolar
40301540;Clomipramina - pesquisa e/ou dosagem
40301559;Cloro - pesquisa e/ou dosagem
40301567;Cobre - pesquisa e/ou dosagem
40301575;Cocaína, pesquisa e/ou dosagem
40301583;Colesterol (HDL) - pesquisa e/ou dosagem
40301591;Colesterol (LDL) - pesquisa e/ou dosagem
40301605;Colesterol total - pesquisa e/ou dosagem
40301613;Cotinina - pesquisa e/ou dosagem
40301621;Creatina - pesquisa e/ou dosagem
40301630;Creatinina - pesquisa e/ou dosagem
40301648;Creatino fosfoquinase total (CK) - pesquisa e/ou dosagem
40301656;Creatino fosfoquinase - fração MB - massa - pesquisa e/ou dosagem
40301664;Creatino fosfoquinase - fração MB - atividade - pesquisa e/ou dosagem
40301672;Cromatografia de aminoácidos (perfil qualitatitivo) - pesquisa e/ou dosagem
40301680;Curva glicêmica (4 dosagens) via oral ou endovenosa
40301699;Desidrogenase alfa-hidroxibutírica - pesquisa e/ou dosagem
40301702;Desidrogenase glutâmica - pesquisa e/ou dosagem
40301710;Desidrogenase isocítrica - pesquisa e/ou dosagem
40301729;Desidrogenase láctica - pesquisa e/ou dosagem
40301737;Desidrogenase láctica - isoenzimas fracionadas - pesquisa e/ou dosagem
40301745;Benzodiazepínicos e similares (cada) - pesquisa e/ou dosagem
40301753;Digitoxina ou digoxina - pesquisa e/ou dosagem
40301761;Eletroferese de proteínas
40301770;Eletroforese de glicoproteínas
40301788;Eletroforese de lipoproteínas
40301796;Enolase - pesquisa e/ou dosagem
40301800;Etossuximida - pesquisa e/ou dosagem
40301818;Fenilalanina, pesquisa e/ou dosagem
40301826;Fenitoína - pesquisa e/ou dosagem
40301834;Fenobarbital - pesquisa e/ou dosagem
40301842;Ferro sérico - pesquisa e/ou dosagem
40301850;Formaldeído - pesquisa e/ou dosagem
40301869;Fosfatase ácida fração prostática - pesquisa e/ou dosagem
40301877;Fosfatase ácida total - pesquisa e/ou dosagem
40301885;Fosfatase alcalina - pesquisa e/ou dosagem
40301893;Fosfatase alcalina com fracionamento de isoenzimas - pesquisa e/ou dosagem
40301907;Fosfatase alcalina fração óssea - Elisa - pesquisa e/ou dosagem
40301915;Fosfatase alcalina termo-estável - pesquisa e/ou dosagem
40301923;Fosfolipídios - pesquisa e/ou dosagem
40301931;Fósforo - pesquisa e/ou dosagem
40301940;Fósforo, prova de reabsorção tubular
40301958;Frutosaminas (proteínas glicosiladas) - pesquisa e/ou dosagem
40301966;Frutose - pesquisa e/ou dosagem
40301974;Galactose - pesquisa e/ou dosagem
40301982;Galactose 1-fosfatouridil transferase, pesquisa e/ou dosagem
40301990;Gama-glutamil transferase - pesquisa e/ou dosagem
40302016;Gasometria (pH, pCO2, SA, O2, excesso base) - pesquisa e/ou dosagem
40302024;Gasometria + Hb + Ht + Na +  K + Cl + Ca + glicose + lactato (quando efetuado no gasômetro) - pesquisa e/ou dosagem
40302032;Glicemia após sobrecarga com dextrosol ou glicose - pesquisa e/ou dosagem
40302040;Glicose - pesquisa e/ou dosagem
40302059;Glicose-6-fosfato deidrogenase (G6FD) - pesquisa e/ou dosagem
40302067;Haptoglobina - pesquisa e/ou dosagem
40302075;Hemoglobina glicada (A1 total) - pesquisa e/ou dosagem
40302083;Hemoglobina plasmática livre - pesquisa e/ou dosagem
40302091;Hexosaminidase A - pesquisa e/ou dosagem
40302105;Hidroxiprolina - pesquisa e/ou dosagem
40302113;Homocisteína - pesquisa e/ou dosagem
40302121;Imipramina - desipramina - pesquisa e/ou dosagem
40302130;Amilase ou alfa-amilase, isoenzimas - pesquisa e/ou dosagem
40302148;Isomerase fosfohexose - pesquisa e/ou dosagem
40302156;Isoniazida - pesquisa e/ou dosagem
40302164;Lactose, teste de tolerância
40302172;Leucino aminopeptidase - pesquisa e/ou dosagem
40302180;Lidocaina - pesquisa e/ou dosagem
40302199;Lipase - pesquisa e/ou dosagem
40302202;Lipase lipoprotéica - pesquisa e/ou dosagem
40302210;Lipoproteína (a) - Lp (a) - pesquisa e/ou dosagem
40302229;Lítio - pesquisa e/ou dosagem
40302237;Magnésio - pesquisa e/ou dosagem
40302245;Mioglobina, pesquisa e/ou dosagem
40302253;Nitrogênio amoniacal - pesquisa e/ou dosagem
40302261;Nitrogênio total - pesquisa e/ou dosagem
40302270;Osmolalidade - pesquisa e/ou dosagem
40302288;Oxcarbazepina, pesquisa e/ou dosagem
40302296;Piruvato quinase - pesquisa e/ou dosagem
40302300;Porfirinas quantitativas (cada) - pesquisa e/ou dosagem
40302318;Potássio - pesquisa e/ou dosagem
40302326;Pré-albumina - pesquisa e/ou dosagem
40302334;Primidona - pesquisa e/ou dosagem
40302342;Procainamida - pesquisa e/ou dosagem
40302350;Propanolol - pesquisa e/ou dosagem
40302369;Proteína ligadora do retinol - pesquisa e/ou dosagem
40302377;Proteínas totais - pesquisa e/ou dosagem
40302385;Proteínas totais albumina e globulina - pesquisa e/ou dosagem
40302393;Quinidina - pesquisa e/ou dosagem
40302407;Reserva alcalina (bicarbonato) - pesquisa e/ou dosagem
40302415;Sacarose, teste de tolerância
40302423;Sódio - pesquisa e/ou dosagem
40302431;Succinil acetona - pesquisa e/ou dosagem
40302440;Sulfonamidas livre e acetilada (% de acetilação) - pesquisa e/ou dosagem
40302458;Tacrolimus - pesquisa e/ou dosagem
40302466;Tálio, pesquisa e/ou dosagem
40302474;Teofilina - pesquisa e/ou dosagem
40302482;Teste de tolerância a insulina ou hipoglicemiantes orais (até 6 dosagens)
40302490;Tirosina - pesquisa e/ou dosagem
40302504;Transaminase oxalacética (amino transferase aspartato) - pesquisa e/ou dosagem
40302512;Transaminase pirúvica (amino transferase de alanina) - pesquisa e/ou dosagem
40302520;Transferrina - pesquisa e/ou dosagem
40302539;Triazolam - pesquisa e/ou dosagem
40302547;Triglicerídeos - pesquisa e/ou dosagem
40302555;Trimipramina - pesquisa e/ou dosagem
40302563;Tripsina imuno reativa (IRT) - pesquisa e/ou dosagem
40302571;Troponina - pesquisa e/ou dosagem
40302580;Uréia - pesquisa e/ou dosagem
40302598;Urobilinogênio - pesquisa e/ou dosagem
40302601;Vitamina A, pesquisa e/ou dosagem
40302610;Vitamina E - pesquisa e/ou dosagem
40302628;Xilose, teste de absorção à
40302636;Lipídios totais - pesquisa e/ou dosagem
40302644;Maltose, teste de tolerância
40302652;Mucopolissacaridose, pesquisa e/ou dosagem
40302679;Ocitocinase, pesquisa e/ou dosagem
40302687;Procalcitonina - pesquisa e/ou dosagem
40302695;Colesterol (VLDL) - pesquisa e/ou dosagem
40302709;Teste oral de tolerância à glicose - 2 dosagens
40302717;Eletroforese de proteínas de alta resolução
40302725;Imunofixação - cada fração
40302733;Hemoglobina glicada (Fração A1c) - pesquisa e/ou dosagem
40302741;Lamotrigina - pesquisa e/ou dosagem
40302750;Perfil lipídico / lipidograma (lípidios totais, colesterol, triglicerídios e eletroforese lipoproteínas) - pesquisa e/ou dosagem
40302768;PAPP-A - pesquisa e/ou dosagem
40302776;Peptídeo natriurético BNP/PROBNP - pesquisa e/ou dosagem
40302784;Vitamina B1, pesquisa e/ou dosagem
40302792;Vitamina B2, pesquisa e/ou dosagem
40302806;Vitamina B3, pesquisa e/ou dosagem
40302814;Vitamina B6, pesquisa e/ou dosagem
40302822;Vitamina D2, pesquisa e/ou dosagem
40302830;"Vitamina ""D"" 25 HIDROXI, pesquisa e/ou dosagem (Vitamina D3)"
40302849;Vitamina K,- pesquisa e/ou dosagem
40302857;6-Monoacetilmorfina urinária
40302865;7 Dihidrocolesterol, dosagem
40302873;Ácido Gama-hidroxibutirico, dosagem soro
40302881;Ácido Micofenólico, dosagem soro
40302890;Ácidos graxos cadeia longa
40302903;Ácidos graxos cadeia muito longa
40302911;AP 50, dosagem
40302920;Atividade de precalicreina
40302938;Beta 2 transferrina
40302946;Bilirrubina transcutânea [labo]
40302954;Cartilagem oligomérica proteína (COMP)
40302962;Cistatina C
40302989;Clearance de amilase
40302997;Colágeno ensaio de ligação
40303012;Alfa -1-antitripsina, (fezes) - pesquisa e/ou dosagem
40303020;Anal Swab, pesquisa de oxiúrus
40303039;Coprológico funcional (caracteres, pH, digestibilidade, amônia, ácidos orgânicos e interpretação)
40303047;Eosinófilos, pesquisa nas fezes
40303055;Gordura fecal, dosagem
40303063;Hematoxilina férrica, pesquisa de protozoários nas fezes
40303071;Identificação de helmintos,  exame de fragmentos - nas fezes
40303080;Larvas (fezes), pesquisa
40303098;Leucócitos e hemácias, pesquisa nas fezes
40303101;Leveduras, pesquisa nas fezes
40303110;Parasitológico - nas fezes
40303128;Parasitológico, colheita múltipla com fornecimento do líquido conservante nas fezes
40303136;Sangue oculto, pesquisa nas fezes
40303144;Shistossoma, pesquisa ovos em fragmentos mucosa após biópsia retal
40303152;Substâncias redutoras nas fezes - pesquisa
40303160;Tripsina, prova de (digestão da gelatina)
40303179;Esteatócrito, triagem para gordura fecal
40303187;Estercobilinogênio fecal, dosagem
40303195;Gordura fecal, pesquisa de
40303209;Helicobacter pylori nas fezes
40303217;Lactoferrina fecal
40303225;Nitrôgenio fecal, dosagem
40303241;Toxina botuliníca, pesquisa (fezes)
40303250;Sangue oculto nas fezes, pesquisa imunológica
40303268;Oograma nas fezes
40303276;Resíduos alimentares, identificação, fezes
40303284;Elastase pancreática fecal
40303292;Fibrinopeptídeo A, antígeno
40303306;Hemoglobina A2, cromatografia
40303314;Hemoglobina cromatografia
40303322;TAT - complexo Trombina/Antitrombiona
40303330;Dosagem fecal de calprotectina
40304019;Anticoagulante lúpico, pesquisa
40304027;Anticorpo anti A e B, pesquisa e/ou dosagem
40304035;Anticorpos antiplaquetários, citometria de fluxo
40304043;Anticorpos irregulares - pesquisa e/ou dosagem
40304051;Anticorpos irregulares, pesquisa (meio salino a temperatura ambiente e 37º e teste indireto de coombs)
40304060;Antitrombina III, dosagem
40304078;Ativador tissular de plasminogênio (TPA) - pesquisa e/ou dosagem
40304086;CD... (antígeno de dif. Celular, cada determinação) - pesquisa e/ou dosagem
40304094;Citoquímica para classificar leucemia: esterase, fosfatase leucocitária, PAS, peroxidase ou SB,  etc - cada
40304108;Coombs direto
40304116;Enzimas  eritrocitárias,  (adenilatoquinase,  desidrogenase láctica,  fosfofructoquinase,  fosfoglicerato quinase, gliceraldeído, 3  - fosfato   desidrogenase, glicose  fosfato isomerase,  glicose 6 - fosfato desidrogenase, glutation peroxidase, glutation
40304132;Falcização, teste de
40304140;Fator 4 plaquetário, dosagens
40304159;Fator II, dosagem
40304167;Fator IX, dosagem
40304175;Fator V, dosagem
40304183;Fator VIII, dosagem
40304191;Fator VIII, dosagem do antígeno (Von Willebrand)
40304205;Fator VIII, dosagem do inibidor
40304213;Fator X, dosagem
40304221;Fator XI, dosagem
40304230;Fator XII, dosagem
40304248;Fator XIII, pesquisa
40304256;Fenotipagem do sistema Rh-Hr (anti Rho(D) + anti Rh(C) + anti Rh(E)
40304264;Fibrinogênio, teste funcional, dosagem
40304272;Filária, pesquisa
40304280;Grupo ABO, classificação reversa - determinação
40304299;Grupo sanguíneo ABO, e fator Rho (inclui Du) - determinação
40304302;Ham, teste de (hemólise ácida)
40304310;Heinz, corpúsculos, pesquisa
40304329;Hemácias fetais, pesquisa
40304337;Hematócrito, determinação do
40304345;Hemoglobina, dosagem
40304353;Hemoglobina (eletroforese) - pesquisa e/ou dosagem
40304361;Hemograma com contagem de plaquetas ou frações (eritrograma, leucograma, plaquetas)
40304370;Hemossedimentação, (VHS) - pesquisa e/ou dosagem
40304388;Hemossiderina (siderócitos), sangue ou urina - pesquisa e/ou dosagem
40304396;Heparina, dosagem
40304400;Inibidor do TPA (PAI) - pesquisa e/ou dosagem
40304418;Leucócitos, contagem
40304434;Meta-hemoglobina, determinação da
40304450;Plaquetas, teste de agregação (por agente agregante), cada
40304469;Plasminogênio, dosagem
40304477;Plasmódio, pesquisa
40304485;Medula óssea, aspiração para mielograma ou microbiológico
40304493;Produtos de degradação da fibrina, qualitativo - pesquisa e/ou dosagem
40304507;Proteína C - pesquisa e/ou dosagem
40304515;Proteína S, teste funcional
40304523;Protoporfirina eritrocitária livre - zinco - pesquisa e/ou dosagem
40304531;Prova do laço
40304540;Resistência globular, curva de
40304558;Reticulócitos, contagem
40304566;Retração do coágulo - pesquisa
40304574;Ristocetina, co-fator, teste funcional, dosagem
40304582;Tempo de coagulação - determinação
40304590;Tempo de protrombina - determinação
40304604;Tempo de reptilase - determinação
40304612;Tempo de sangramento de IVY - deteminação
40304620;Tempo de trombina - determinação
40304639;Tempo de tromboplastina parcial ativada - determinação
40304647;Tripanossoma, pesquisa
40304655;Tromboelastograma  - pesquisa e/ou dosagem
40304663;Alfa-2antiplasmina, teste funcional
